時間,用戶1,用戶2,用戶3,用戶4,用戶5,用戶6,用戶7,用戶8
2021-07-23 10:00:00,168.2,177.6,371.8,757.6,900.8,367.8,612.4,283.8
2021-07-23 11:00:00,173.4,182.2,375.8,758.2,901.2,369.4,615.0,281.2
2021-07-23 12:00:00,159.6,178.6,371.6,757.0,901.2,368.4,618.2,272.8
2021-07-23 13:00:00,163.8,185.2,379.6,756.4,902.4,368.6,616.2,272.6
2021-07-23 14:00:00,162.0,188.4,373.4,763.8,902.4,367.6,616.2,268.0
2021-07-23 15:00:00,161.4,181.4,369.6,764.8,903.8,368.2,615.4,265.2
2021-07-23 16:00:00,158.2,158.6,364.8,764.0,904.6,368.6,614.2,256.8
2021-07-23 17:00:00,154.6,99.6,354.4,762.6,904.0,367.8,615.6,186.2
2021-07-23 18:00:00,137.2,42.8,229.4,758.0,902.4,366.8,611.6,114.6
2021-07-23 19:00:00,122.6,36.8,184.0,754.0,901.8,366.4,607.6,70.0
2021-07-23 20:00:00,104.6,14.0,163.0,752.4,898.4,364.4,602.0,56.8
2021-07-23 21:00:00,81.8,12.6,143.4,754.8,897.8,364.0,600.2,50.2
2021-07-23 22:00:00,61.2,12.8,123.4,753.0,897.6,364.2,598.6,47.6
2021-07-23 23:00:00,45.4,12.2,108.8,751.4,896.4,363.4,597.4,45.8
2021-07-24 00:00:00,30.8,10.6,87.2,751.4,895.2,362.6,586.0,40.8
2021-07-24 01:00:00,30.4,10.2,86.0,748.8,893.8,362.6,585.4,40.6
2021-07-24 02:00:00,30.4,10.4,86.6,744.8,892.8,361.6,584.6,40.4
2021-07-24 03:00:00,30.4,10.2,86.4,741.6,893.4,361.4,584.4,40.2
2021-07-24 04:00:00,30.4,10.2,86.6,739.4,893.8,361.2,584.4,40.2
2021-07-24 05:00:00,30.8,10.2,88.8,737.0,893.0,359.4,583.4,40.6
2021-07-24 06:00:00,30.4,10.0,90.8,737.4,895.0,358.6,583.2,41.8
2021-07-24 07:00:00,30.6,10.6,107.2,739.4,897.2,362.8,589.6,42.2
2021-07-24 08:00:00,31.2,11.0,117.0,745.2,898.2,365.2,595.6,45.4
2021-07-24 09:00:00,32.0,11.4,113.4,753.0,899.4,366.4,595.2,48.2
2021-07-24 10:00:00,32.2,11.8,115.8,757.6,900.8,367.8,596.6,48.8
2021-07-24 11:00:00,32.4,11.8,122.2,758.2,901.2,369.4,599.2,48.2
2021-07-24 12:00:00,32.6,12.0,125.4,757.0,901.2,368.4,603.8,48.0
2021-07-24 13:00:00,32.8,12.0,121.2,756.4,902.4,368.6,601.6,47.8
2021-07-24 14:00:00,33.4,12.0,129.0,763.8,902.4,367.6,601.6,48.2
2021-07-24 15:00:00,33.0,12.0,120.8,764.8,903.8,368.2,602.0,48.0
2021-07-24 16:00:00,32.8,11.8,118.8,764.0,904.6,368.6,600.4,46.6
2021-07-24 17:00:00,32.6,11.2,126.4,762.6,904.0,367.8,601.6,45.4
2021-07-24 18:00:00,32.0,10.8,115.6,758.0,902.4,366.8,600.8,44.6
